[2025-09-29 12:45:44] [INFO    ] discord.client: logging in using static token
[2025-09-29 12:45:44] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-09-29 12:45:44] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-09-29 12:45:44] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1420358600441991259', 'username': 'Frogpino', 'avatar': '66903b5952e088ee40dfc86998227a47', 'discriminator': '7422', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-09-29 12:45:46] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-09-29 12:45:46] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-09-29 12:45:46] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1420358600441991259', 'name': 'Frogpino', 'icon': '66903b5952e088ee40dfc86998227a47', 'description': '', 'type': None, 'bot': {'id': '1420358600441991259', 'username': 'Frogpino', 'avatar': '66903b5952e088ee40dfc86998227a47', 'discriminator': '7422', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '2279df5cf0e233e3a1ffd325bc6b5a751a3737aeff1de6d474b7591c9003a578', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '855312585871851541', 'username': '_calim4ki', 'avatar': '12e2d81d99523c08743edf1c85e4ef03', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': 'a_8ceb21a0c4e848a010368b999a6bfec2', 'accent_color': None, 'global_name': 'cali', 'avatar_decoration_data': {'asset': 'a_89b499793e86bf459a8dd4f02ad416f4', 'sku_id': '1326347611069874277', 'expires_at': None}, 'collectibles': {'nameplate': {'sku_id': '1409983105577783410', 'asset': 'nameplates/special_events_2/nitro_rocketfuel_nameplate/', 'label': 'COLLECTIBLES_SEPTEMBER_2025_MARKETING_NAMEPLATE_A11Y', 'palette': 'violet'}}, 'display_name_styles': {'font_id': 10, 'effect_id': 5, 'colors': [11080677]}, 'banner_color': None, 'clan': {'identity_guild_id': '989798459592814632', 'identity_enabled': True, 'tag': '𓏲𝄢', 'badge': '40a7aa796426347d6b76d20dfed2c273'}, 'primary_guild': {'identity_guild_id': '989798459592814632', 'identity_enabled': True, 'tag': '𓏲𝄢', 'badge': '40a7aa796426347d6b76d20dfed2c273'}}, 'approximate_guild_count': 2, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-09-29 12:45:46] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-09-29 12:45:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-w034",{"micros":0.0}]']}}
[2025-09-29 12:45:46] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-09-29 12:45:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
